"metadata.name","metadata.description","metadata.datatype","metadata.arraysize","metadata.ucd","metadata.unit","data.1","data.2","data.3","data.4"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[MAC2016] M0416cl    226","64.031746","-24.089411","9.92265"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 17584","150.196178","2.390404","9.922"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[MAC2016] A2744pf  2067","3.480027","-30.366417","9.92155"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 8702","150.160087","2.284242","9.917"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 16870","150.121695","2.381318","9.912"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 3261","150.160096","2.217391","9.902"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[MMD2016] A611-10-1","120.2545","36.0510194444444","9.9"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 8815","150.158926","2.285391","9.9"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[BIO2015] GNDJ-2273942274","189.34475","62.2395555555556","9.9"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[SCB2018] SPTJ0615-JD1","93.9792916666667","-57.7721","9.9"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[MAC2016] A2744pf  2238","3.458497","-30.363226","9.893"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[MAC2016] A2744pf  2193","3.463279","-30.36425","9.893"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[MAC2016] A2744cl    298","3.565199","-30.411533","9.893"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[MAC2016] A2744pf  2273","3.458307","-30.361893","9.893"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[MAC2016] A2744cl    990","3.567305","-30.402061","9.893"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[MAC2016] A2744pf  2240","3.465746","-30.363163","9.893"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[MAC2016] A2744cl   1224","3.589956","-30.398932","9.893"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[MAC2016] A2744cl   1232","3.608138","-30.398689","9.893"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","CANDELS EGS F160W J141904.0+524229.8","214.766691","52.708276","9.891"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[STB2016] GLASS RXJ2248 00404","342.2018794","-44.542663866","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 1952","150.154665","2.203621","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 11894","150.200135","2.321436","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 12291","150.081471","2.326466","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 20963","150.117355","2.433295","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 21763","150.084391","2.443944","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 22004","150.122774","2.447093","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 22427","150.200289","2.452744","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 25367","150.117779","2.496757","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 29067","150.158864","2.55354","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 29183","150.093182","2.179101","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 29205","150.113621","2.180474","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 29485","150.142957","2.19541","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 29720","150.084661","2.204004","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 30492","150.117496","2.23255","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 30630","150.128038","2.23732","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 30956","150.193911","2.250128","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 32002","150.081944","2.287052","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 32219","150.08034","2.294949","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 32907","150.176559","2.32072","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 32948","150.182296","2.322537","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 33186","150.071333","2.331364","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 33625","150.092227","2.346744","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 34105","150.165814","2.36453","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 34175","150.095276","2.367014","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 34221","150.166435","2.368871","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 35485","150.092772","2.413324","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 36131","150.147016","2.440795","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 36139","150.193013","2.441226","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 36161","150.191868","2.442377","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 36808","150.127952","2.471901","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 37030","150.2013","2.481202","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 37102","150.154627","2.484781","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 37394","150.135323","2.499328","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 37436","150.154675","2.501116","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 37493","150.080607","2.502967","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"sBoRG 0409-5317   291","62.2994","-53.2907","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"sBoRG 1014-0423   166","153.5068","-4.3776","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","sBoRG 1206-0852   423","181.5962","-8.8791","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[HOO2023] GL-z9-11","3.510375","-30.3669166666667","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 2712","150.154284","2.211933","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 13113","150.07908","2.33736","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 16786","150.202479","2.380238","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 29686","150.129201","2.202675","9.89"
"rvz_redshift","redshift","DOUBLE",NA,"src.redshift",NA,"[NHM2017] 30746","150.055702","2.24148","9.89"
"main_id","Main identifier for an object","CHAR","*","meta.id;meta.main",NA,"[NHM2017] 30745","150.191899","2.241462","9.89"
"ra","Right ascension","DOUBLE",NA,"pos.eq.ra;meta.main","deg","[NHM2017] 30874","150.202031","2.246592","9.89"
"dec","Declination","DOUBLE",NA,"pos.eq.dec;meta.main","deg","[NHM2017] 31687","150.169642","2.275582","9.89"
